"","name","race","gender","proffesion","affiliation","text"
"200","Derae","Elf (Aen Seidhe)","Female","Escort"," Flotsam brothel","Derae was one of most requested elves working at the Flotsam brothel. You can find her in one of the rooms on the top floor of the same building where both the inn and the brothel are.Derae was Margot's partner. Unfortunately, if you chose to give the sword to Iorveth at the Elven ruins, during The Assassins of Kings quest, her beauty will not save her from being a victim of the incidents of Chapter I."
"201","Detmold","Human","Male","Mage Royal Advisor"," Ban Ard King Esterad of Kovir King Henselt of Kaedwen","Detmold (Dethmold[1]) was a flaxen-haired mage from Pont Vanis who studied in the magic school of Ban Ard. His brother, Drithelm, was in the service of King Esterad of Kovir.Compared to other mages, Dethmold had a surprisingly pleasant attitude. He could be courteous and friendly, although he likely had ulterior motives for being nice. This could have also been a ploy to make himself appear as less of a threat to others. Despite his friendly projection, his appearance and attire have been known to terrify several people.[1]Later on, he revealed he was at least partially sadistic, delighting in the torture of prisoners and had brutally killed and mutilated victims with magic. He also had no qualms with performing necromancy, a banned form of magic.Dethmold is a main character in The Witcher 2: Assassins of Kings. He was the mage advisor to King Henselt and featured heavily in the plot if Geralt allied himself with Vernon Roche. His hair color was not apparent in the game, if he even had any left. Dethmold was amoral and would do anything to gain power for himself and/or Kaedwen, including kidnapping Anais La Valette if Geralt did not join Iorveth in Chapter I.Dethmold had no scruples when it came to kidnapping, execution or other socially frowned upon actions. He had a non-existent morality - and this carried on to his advisee, Henselt of Kaedwen. He was however also loyal to not only Henselt but Kaedwen as a nation.As revealed during Chapter III on Roche's path, Dethmold was also homosexual. He was seen with his manservant who was also his sex slave (though it is not proven besides the words of the servant himself) while preening in front of a vanity, gently caressing his acne, warts and zits. There were a number of suggestive items scattered around his chambers in Loc Muinne. Dethmold also had an apprentice and a little commando for his safeguard.On Roche's path, depending on the circumstances, Dethmold could either slip through Geralt's grasp or he could be brutally killed by Roche. On Iorveth's path he would be executed on Saskia's orders.Comments about Dethmold from the CDPR developers Jan Bartkowicz (Story Writer), Artur Sliwinski, (Story Writer), Arkadiusz Borowik (Story Writer) and Jan Marek (Concept Artist) taken from the ""Dev Diary 3:"
"202","Dmitri","Human","Male",NA,NA,"Dmitri was a bandit and a murderer that Geralt met during Troll Trouble quest in Chapter I, at the cemetery of Lobinden, while he was talking with his men of their latest victims. As you can expect, the dialog shortly ends in a fight where this creep finally finds his end.Looting his remains, Geralt finds a Bandit hideout key and a letter of safe passage, where he can read the involvement of Louis Merse and Bernard Loredo in Dmitri's deeds."
"203","Dragan","Human","Male","Merchant"," Arena","Dragan is a merchant at the arena introduced in version 2.0 of The Witcher 2: Assassins of Kings. He is available to buy and sell equipment between fights."
"204","Earso","Human","Male","Merchant Craftsman"," Vergen","Earso is a secondary character in The Witcher 2: Assassins of Kings. He is a merchant, craftsman, and dice poker player who can be found in the southernmost part of Vergen during Chapter II (Iorveth's path), and southwest of the notice board in Loc Muinne during Chapter III.In Chapter III, Geralt asks him what he's been up to and Earso tells him that since there's no future in rat catching, he's decided to pursue a career in entertainment. He is now manager and master of ceremonies for a circus troupe and plans to make them the most famous entertainers north of the Yaruga. Some of the performers in that circus include: Falas, Ilona and the Mighty Numa."
"205","Edwin Leistham","Human",NA,NA,NA,"Edwin Leistham is a secondary character in The Witcher 2: Assassins of Kings. He presents himself as second to Letande Avet when Geralt challenges him to a 2-on-2 duel with Sven."
"206","Einar Gausel","Dwarf","Male","Merchant, Dice Poker Player"," Blue Stripes","Einar Gausel is a secondary character in The Witcher 2: Assassins of Kings. He is a merchant (who primarily sells books), dice poker player, and (with patch 1.2 installed) barber who can usually be found in the building north of the dwarven smithy in the non-human district of Flotsam. You can purchase books about monsters from him, which are necessary to progress in the quests The Nekker Contract and The Endrega Contract.Later on in Chapter I, if Geralt chooses Iorveth's path, the non-human district is burned and the non-humans massacred. Geralt is told that Einar Gausel collaborated with Loredo and betrayed his race. However, Margot's letter to Iorveth says different, stating he only yields to Loredo as much as is necessary."
"207","Ekhart Henessy","Human","Male","Soldier Rank(s) Standard Bearer"," Dun Banner Vandergrift","Geralt of Rivia met Ekhart Henessy in his wraith form after his death, when he accepted to lift Sabrina Glevissig's curse on the battlefield near Vergen; to do so, he needed however the Standard of the Dun Banner division, which was being guarded by Ekhart's ghost in the catacombs."
"208","Ele'yas","Elf (Aen Seidhe)","Male","Soldier"," Iorveth Scoia'tael","Ele'yas is a secondary character in The Witcher 2: Assassins of Kings. He is briefly seen during Chapter I at the beginning of At a Crossroads: Scoia'tael when Iorveth tells him to ready his unit to march. In Chapter II, on Iorveth's path, he is initially found loitering outside The Cauldron, near the notice board.If Geralt sides with the succubus and denounces Ele'yas to Iorveth, the elf lies in wait and ambushes the witcher in the burned village."
"209","Elthon","Human","Male",NA,NA,"Elthon is a secondary character in The Witcher 2: Assassins of Kings, added to the game by patch 1.3. He lives in the hut at the north edge of the old quarry southwest of Vergen."
"210","Elven prisoner","Elf (Aen Seidhe)","Male",NA," Scoia'tael","In the Kaedweni camp, Geralt notices an elven prisoner being closely guarded and asks if he can question him. The guards initially refuse the witcher's request saying that they don't know him nor do they trust him.Later, after having gained the trust of the Kaedweni soldiers, Geralt is allowed to question the prisoner. At first the elf is reluctant, but Geralt persists and finally gets to the elf to talk to him in Elder Speech so that the guards will not be able to understand what is being said."
"211","Enzo Etcheverry","Human","Male",NA," House of La Valette","The Temerian count signed a friendship-agreement with King Foltest, before joining the rebellion on the side of Maria Louisa La Valette, ultimately dying on the walls of her castle."
"212","Eredin Bréacc Glas","Elf (Aen Elle)","Male",NA," Wild Hunt","Pale blue (games)Eredin Bréacc Glas, also dubbed Sparrowhawk by the unicorns, was an Aen Elle elf and commander of an elven cavalry known as the Wild Hunt. As its leader, he was known to most as the King of the Wild Hunt. Eredin was a high ranking general in his world until he killed the king and became his successor.Despite being a notable strong soldier who was also skilled in magic, not much was known about his younger years.When King Auberon Muircetach, ruler of the Aen Elle elves, created the Red Riders, he appointed Eredin as their leader and general. Eredin, who at the time could access the Gate of the Worlds, allowing him to travel to different worlds at will, used the Gate and led the Red Riders in raiding many different worlds. Their main objective was to find and secure a sufficient number of humanoid - preferably human - slaves, that could serve the elves. Over time, this made Eredin and his men infamous and feared and they began to use magic to make themselves look even more menacing, like skeleton shaped armor and altering their voices.As time went on, they eventually rediscovered their original homeworld: the Aen Seidhe world where, prior to the Conjunction of the Spheres, all elves were from. However, it was now controlled by humans and since the Aen Elle had a deep hatred towards the race, the Aen Seidhe world became their primary target with Eredin often leading raids on the world and stealing a great number of young individuals. People from that world quickly started to fear the riders and they gave them a new name - the Wild Hunt. Because Eredin always led his men personally, he was present almost all the time and, as the lead rider, he caused the most fear in the common folk and soon they started to call him the King of the Wild Hunt.An unknown time later, the unicorns freed themselves from the grasp of the Aen Elle and took the Gate from them, meaning Eredin could no longer use it. This also caused all the elves to be stuck in their world with no access to more slaves and so they began to study the magic of traveling to different realms. However, they were only partially successful and created navigators - specialized mages trained to open portals to different worlds, but they could only transport a small group of riders. Due to this, the riders used spectral forms in place of physical and traveled in the skies as a cavalcade of specters.Around 1267 the Wild Hunt sensed a certain individual with very powerful Elder blood who turned out to be a little girl named Cirilla. As Elder blood was crucial for regaining access to the Gate of the Worlds, Eredin set his sights on capturing her as he wanted to resume his invasions of other realms. The Wild Hunt first tried to catch her near the city of Gors Velen but this failed and his continued search for her proved fruitless. However, thanks to his fellow elf Avallac'h, who lured Ciri to the Aen Elle world and took her to the palace in Tir ná Lia, Eredin was finally able to confront her and the two elves gave her an ultimatum: either she lay with the king and give him a child that would reintroduce the Elder blood to the elves - thus possibly giving them access to the Gate again - or she would never leave the palace. Ciri eventually agreed and tried to fulfill her end of the bargain but Auberon was very old and hated humans, considering them little more than animals. Because of this, he was unable to perform and produce a child with Ciri. Eredin, sensing an opportunity, gave an aphrodisiac to his king that was actually a poison, killing Auberon. This, in turn, made Eredin the successor to the crown.With the king dead, chaos spread in the palace and Ciri, with the help of the unicorns, managed to escape not only the palace but the Aen Elle world altogether. Eredin pursued her with the Wild Hunt but she managed to evade them and so he returned to the palace empty handed.Once he returned, he proclaimed himself the new king, having made sure nobody knew about his role in Auberon's death. Only Avallac'h suspected Eredin, but he had no proof so he left the palace and went searching for Ciri on his own.Meanwhile, Eredin consolidated his power and made a few changes. Because he had no interest in the governing aspects that come with being a king, he appointed Ge'els to serve as his viceroy and take care of the state while he was leading the Wild Hunt. He also chose two elves as his most trusted generals - Caranthir as a chief navigator and Imlerith as a commander of the riders.He also haunted Ciri as a wraith while she rested in a French tavern, telling her that he would wait for her on The Spiral - a place he said she would eventually enter after her long journey through space and time.The Aen Elle world soon faced a new and dangerous threat known as the White Frost - a deadly phenomenon that caused an eternal winter, killing off everything that once inhabited the world, and was supposed to be the eventual end of every known world. Eredin decided the only way to escape the apocalypse would be to move the Aen Elle to the world of the Aen Seidhe and conquer it. However, his navigators lacked the power to move thousands of Aen Elle elves. Knowing Ciri's power would be able to create a large enough portal for his people, even if it were to kill her in the process, thus Eredin began to hunt for Ciri once more.This time however he tried something new. He knew that Ciri had loved ones so his new approach was to capture them and hopefully lure her into a trap while she attempted to save them. Thus he and his raiders went to Malus Island where Ciri's adoptive parents - Geralt of Rivia and Yennefer of Vengerberg - lived. Though Geralt managed to cut down many of the attackers, Eredin was able to kidnap the sorceress and took off with her. Geralt pursued him and was joined at one point by several witchers from the School of the Viper and, together, they caught up with the Hunt near the Hanged Man's tree in Nilfgaard and began to fight the Hunt. While the witchers proved to be capable fighters, they were too outnumbered, so Geralt offered to take Yennefer's place and Eredin agreed, releasing Yennefer.For some time, the witcher rode with the Wild Hunt and Eredin was satisfied as Geralt was an excellent lure for Ciri. As expected, she soon found out and in 1270 she managed to save Geralt from Eredin's grasp while not getting caught herself. Despite this, Eredin continued to haunt Geralt using his spectral form and eventually the two had a confrontation (with Eredin still in his spectral form) before he re-focused his efforts on Ciri, who by that point was being helped by Avallac'h.Eredin and the Hunt pursued the duo for over a year until one day the pair teleported to Ard Skellig. Sensing the power that came from such a teleportation, Eredin ambushed them in the forest and managed to inflict an extremely powerful Aen Undod curse upon Avallac'h that would slowly transformer the sage into a diminutive creature that humans would later call Uma. However, Avallac'h was not one to go down easily and cast a powerful spell that wrought havoc in the Hunt's ranks, destroying much of the forest, allowing the duo to escape, albeit ending up in different regions. Ciri ended up in Velen where she lost conscious and the Crones found her. However, the Crones served Eredin and when he was informed they had Ciri, he sent Imlerith to retrieve her. However, Ciri had managed to wake up and learn what the Crones had planned and escaped once more.Sometime later she returned to Skellige, this time to the village of Hindarsfjall, but not even a day later the Hunt attacked again. One of the locals, Skjall, helped her escape to where Avallac'h was waiting for her with Eredin and the Hunt hot on their heels, but the two made out into the water, leaving their pursuers on shore.With Ciri's location now unknown, Eredin waited for another chance Ciri might use her ability, giving her location away once more. Eventually Geralt, who learned Avallac'h had hidden her on the Isle of Mists, recovered her and the Hunt appeared, forcing Ciri to use her teleportation to transport her and Geralt to Kaer Morhen.Now knowing the location of Ciri, the Wild Hunt attacked the witcher keep in full force and Imlerith and Caranthir personally took part in the fight, but Eredin watched rather than join in himself. However, the witchers were able to put up a tougher fight than expected and Eredin called his generals away before blasting through into the courtyard with a powerful frost spell, freezing everyone caught in the blast, including Geralt.Ciri and Vesemir, who'd been shielded by a wall, were the only ones not affected and while the old witcher tried his best to get Ciri to safety, he was caught by Imlerith who began to beat him up when Eredin stopped him, realizing they could use his life as blackmail to get Ciri to go with them. Despite Vesemir's protests to not do it, Ciri started to walk unarmed towards Eredin so Vesemir stabbed Imlerith who angrily snapped the witcher's neck. Seeing the death of her old mentor, Ciri's grief and rage, mixed with her Elder blood, caused a burst of raw magical power, threatening to kill not just the Wild Hunt and Eredin, but all the witchers in the area as well. Eredin, driven by the need to capture Ciri regardless, tried in vain to get to her, but Caranthir opened a portal and teleported himself and the king away, ending the battle.In the days following Eredin's humiliating retreat, the Aen Elle king received a few devastating blows to his power base, starting with Imlerith being slain by Geralt at the Sabbath before the White Wolf and Avallac'h traveled to Tir ná Lia to show Ge'els via onieromancy of Eredin's regicide, which prompted the viceroy to refuse reinforcements should Eredin call for aid.Eventually, Eredin responded to a call from Ciri using the Sunstone, prompting him to redirect the Naglfar to the coast of Undvik. He soon found that it was in fact a trap, as the Wild Hunt was beset by both Nilfgaardians and Skelligers. On the deck of his ship, Eredin faced Crach an Craite and the elf proceeded to toy with the jarl, dealing him grievous wounds before asking if he had any final words. Crach refused and went in for one last attack, which Eredin cut down with ease, killing the jarl.He was then confronted by Geralt and Eredin proclaimed he had something to tell the witcher but would only reveal it as the witcher was dying. As they battled, Eredin opened various portals into other realms where the two continued to fight before returning back to the Naglfar and where Geralt proceeded to stab Eredin in his left eye before dealing a fatal blow. Dying, Eredin confessed that Avallac'h had manipulated both of them into this confrontation so he could use Ciri for his own purposes before succumbing to his wounds.Eredin Bréacc Glas is one of playable characters in MOBA ""The Witcher Battle Arena"" added with Season 3 Update and has a lot of interesting weapons, skills, and skins. He is a warrior class hero.Eredin pursues Ciri across the main regions of third installment, aided by two of his generals: Imlerith and Caranthir.Eredin has led the Hunt's riders for dozens, possibly even hundreds, of years. In order to inspire greater terror, he wears armor making him look like a ghastly wraith. Elements of it are enameled in red and shaped so as to resemble a body whose skin has been flayed off. Crowning the armor is a skull-shaped helmet made of black steel, heavy, spiked brassards and greaves, and an openwork breastplate shaped to resemble skeletal ribs. Galloping on his mount, sword raised in the air, Eredin seems to most mortal men the incarnation of their worst possible nightmare.Very few are aware of the fact, but underneath the King of the Wild Hunt's ghastly armor lies a being made of flesh and blood. The Riders of the Wild Hunt are in truth not wraiths, but warriors of the Aen Elle, the Alder Folk, distant relatives of the Aen Seidhe, the elves inhabiting the world in which our tale takes place.Beneath he helmet of the King himself lies the face of Eredin, ruler and general of the Aen Elle. His face is slim and attractive, though clearly marked by cold cruelty. Dark, deep-set eyes, aristocratic features, a pale complexion, and thin lips twisted into a slight grimace complete our main antagonist's appearance. ...In the world of the Aen Elle, Eredin Bréacc Glas once led an elite cavalry unit known as Dearg Ruadhri, meaning the Red Riders in Elder Speech. It was this unit that constituted the initial core of the Wild Hunt, and eilt formation able to move between worlds. The initial number of Dearg Ruadhri is not known, yet one can confidently assume that it rose greatly after Eredin ascended the throne after the death of his predecessor, King Auberon. These skilled Aen Elle warriors are foes that Geralt will have to face many times in this installment of the series. There are also five leader cards with Eredin's name as leader of Monsters Gwent deck. Four of which are in base game, while fifth one comes with Hearts of Stone expansion."
"213","Eskel","Human (witcher)","Male","Witcher"," School of the Wolf","Eskel was a witcher of the School of the Wolf taught by Master Vesemir at Kaer Morhen and active in the 13th century. As the sorceress Triss Merigold noticed, Eskel emanated a strong magic aura. Though less famous than his peer Geralt of Rivia, Eskel became renowned in his own right as a professional, reliable witcher, and possessing a kind and relaxed disposition.Eskel and the White Wolf were like brothers. Side by side they grew up, enjoyed pastime activities and endured the witcher trials. A good friend of younger Lambert and Coën of Poviss, Eskel saw Vesemir as both a mentor and a father figure. He returned to Kaer Morhen each winter to swap tales and rejuvenate for The Path.Born in mountains, Eskel originated from hill-folk. His mother used to sing him an old hiking tune about a hen, which would later be the only thing the witcher remembered of her.[1]Under unknown circumstances, The Witchers' Settlement in the Blue Mountains eventually became his home. He befriended Geralt, a peer who gradually turned into his almost-brother. Together they relished in childish delinquencies. Once, Eskel and Geralt had captured a huge forest bumblebee and tied it to a jug. Watching its antics, the two had fits of laughter until Vesemir had caught and punished them with a leather strap.[2]Tirelessly studying all sorts of creatures, trainees got to hear teachers repeat jokes about virgins and unicorns or basilisks and mirrors, quickly finding all unamusing. The one they found most primitive—infinite versions of how a young witcher shook his hand with a female dragon.[3] To become full-fledged witchers, the youth had undergone murderous and painful Changes together, the Trial of the Grasses which changed their physiology, granting them, among other things, cat-like vision in the dark. Young Eskel feared for his friend's life when Geralt's hair turned white as a side effect of the Trial, though both managed to beat the odds and survive it together. They trained on The Trail. Leading around the Kaer Morhen through dangerous obstacles, it was generally known as ""The Killer"".[4]Eskel propped by Lambert, moments after receiving distorting scars.In the late 1210s, Eskel saved a prince of Caingorn in a dire struggle with a werebbubb gang and was offered anything he wanted as a reward. Given such a wide-open choice, he could not think of anything and instead recited the fabled Law of Surprise ""give me that which you find at home yet do not expect"" that he had heard Vesemir repeat over the years.This is how Princess Deidre Ademeyn born during an eclipse became his surprise child. Avoiding responsibility, Eskel took great pains to evade going back. Taking ridiculously long routes to avoid the proximity of Caingorn, he had heard about Deidre maturing into a highly unpredictable lass. Plus she discovered an innate gift of obstructing magic in her area, all superstitiously interpreted as ""accursed mutations of the Black Sun"". To determine what it all meant, Eskel carried a collective work about the phenomenon. He surmised the Council of Wizards meddled too much into state affairs, botched it and, had they not sent Sabrina Glevissig, Ademeyn might not have become ostracized.When she sought asylum around 1242,[N 2] Vesemir hosted her and Eskel busied himself with a kikimore hatchery in the old mine outside Kaer Morhen while devising a solution and where Geralt found him and the two discussed the situation. In a way, Eskel cared and didn't want to pass her to Glevissig who, bursting with unproven conclusions, wished to kill and study Ademeyn. After heading back, Vesemir called his pupils to present ideas. Eskel, unsure, asked Geralt for guidance.If the witchers chose not to help Deidre: The witchers decided not to help her, and Deidre went into a rage, almost fatally attacking Eskel before fleeing, with Sabrina stepping in to heal Eskel's wounds, though unable to remove his deep facial scars. She requested the witchers leave it for her to find and deal with Deidre. It is unknown if the witchers allowed this, but for the next two years, the notorious and murderous outlaw Deidre terrorized southern Kaedwen. Eventually she was hunted down and killed, either by Sabrina and her allies or a mysterious man with a terribly scarred face who refused to collect the bounty that had accumulated on her.If the witchers chose to help her: A scuffle between Ademeyn and her younger brother Merwin Ademeyn, Glevissig's misguided ally poised to rule, caught Eskel inside. Accidentally, the princess slashed the witcher across his face, but deeply regretting it, she subsequently left, resolving the entire matter. Several years later she sent him a letter with her royal seal upon it, but Eskel put it into a fire without reading it and never spoke of her again.Though the witchers of Kaer Morhen never spoke of her again, none of them forgot her either, each carrying her memory in their heart.[5]Early autumn 1264 had seen Eskel return again for the winter. A certain day, he went to close the main gate to stop heat from escaping when Geralt brought Ciri. Eskel embraced the Wolf and though he was skeptical at first, he nonetheless agreed with Ciri's training. He welcomed the girl at Kaer Morhen and took her luggage. Asked who else was inside besides Vesemir, Eskel responded with the names of Lambert and Coën, their mate[4] from the School of the Griffin.[6] Following months, Eskel helped Ciri train. He was worried, however, by her trances induced by an accidental sip of White Gull.[4]The third trance scared the witchers most, so they sat down. Eskel, who couldn't withstand the silence, swore and stood up to bring a bottle of something strong. Listening to Coën and Geralt, he took a vodka. Vesemir was furious about the booze in the beginning but later beckoned Eskel to pour him a pint. After more silence, Eskel came up with an idea to summon a witch. When Lambert mocked Ciri's latest prophecy by stating witchers are likely to die by monster teeth, he added dental gangrene may be another interpretation, seemingly serious. Vesemir hushed both, saying they shouldn't joke about it.[3]They decided to call Triss Merigold who arrived near Midinváerne of 1265. The sorceress noticed Eskel emanated potent magic when he bowed and politely took her hand to kiss it. Initially suspicious she could be poised to reveal witchers' secrets to the Brotherhood of Sorcerers, Merigold convinced Eskel of having no such intention. He had a good relationship with Merigold altogether. When she had comments on how witchers treat Ciri, he listened. After determining what to do about Ciri, Merigold told the witchers about the situation in the Northern Kingdoms. Early on, Eskel asked several questions but ceased to as it turned into a dispute about neutrality.[4]Eskel wintering at the keep.Before 1267, Yennefer of Vengerberg visited Kaer Morhen and Eskel met her.[4] As the Second Northern War had neared its end, Eskel was in the vicinity of Brenna. After the massive battle of Brenna, he asked about Coën, who had fought for the North. Not only did he learn the jolly friend's fate, but Eskel retrieved a silver sword once held by Coën,[6] though not the one he had at Brenna.[7] The sword retrieved would then be displayed in the main hall of Kaer Morhen.[6]He never gained Geralt's renown, even though he equaled the White Wolf in experience and skill. Despite that, Eskel has made a name for himself as an efficient witcher, learned in his trade. One of his recognized heroics was when he saved a little girl from a basilisk, splitting it down the stomach and getting her out. He wasn't paid due to the fact he was wandering those lands hunting zeugl. He didn't avoid adventures either, as he had slept with a succubus and took fisstech with her.[1] During warmer times at Kaer Morhen, Eskel would go out to drive back harpies.[8]Eskel during the Salamandra heist.One day before Belleteyn of 1270, Eskel and Lambert were both at Kaer Morhen and were supposed to repair one staircase, which they postponed. A day later, Eskel and Vesemir were out hunting in the woods and found the unconscious Geralt, till then considered dead, not far from the keep. They loaded him on a cart and while his friend laid exhausted, Eskel explained how nobody knew where he disappeared following the Rivian Pogrom. Reassuring amnesiac Geralt that all would be well, they brought him to Lambert and Triss Merigold back at the keep.Shortly thereafter, Azar Javed and the mysterious Salamandra struck. Eskel, like all his comrades, defended the keep. Splitting, Vesemir assigned Eskel and Lambert to help him battle Savolla's frightener. Nevertheless, the thugs got the upper hand. Witchers retreated into the upper courtyard, where Merigold blamed Eskel and Lambert for not repairing that staircase as it could have helped the defense. When she also said Salamandra may be there for witcher mutagens, Lambert was skeptical but Eskel supported her. Though he helped slay the frightener, the bandits got away with the mutagens.After they burned the murdered trainee Leo on a funeral pyre, the witchers split up to seek information. Eskel took western direction as he had contacts there and preferred coast climate. Before leaving, Eskel gave Geralt valuable advice on fencing and alchemy.[7]Executing a forktail.Through the year that followed the defeat of the mastermind behind Salamandra, Jacques de Aldersberg, Eskel had several contracts. He pierced a fogler, fought a red-skinned insectoid or flamed four wraiths.[9] Next, he had been hired to deal with a hypnotic samovila but left after the peasant who paid fell in love with her.On a search for a katakan more than a century old and liable to kill drunkards, Eskel had to stalk the opponent for a month before dealing the final blow. Including trying to trap it a masquerade ball held by the nobles to attract the vampire, during which he took the time to enjoy the company of a number of the ladies there. He eventually managed to trick it into drinking blood from a woman he paid to be heavily intoxicated with substances that would weaken it. After that he managed to kill it with ease and took its carcass back to Kaer Morhen with him. Proper examination of the vampire's body parts, he believed, could lead to discovering a new witcher method of age determination based on footsteps.[1]Eskel was out pursuing a forktail in the fall of 1272 as the draconid needed to be removed and Yennefer lacked organs to distill ingredients required to disenchant Uma. After Geralt tracked Eskel down, Eskel agreed to let the White Wolf join the hunt and the two talked about recent events going on in their lives before tracking and following the forktail to its lair and finishing it off. Then Eskel mounted his horse and the two made their way back to the keep with a friendly horse race.Inside, Eskel showed Geralt the katakan specimen and began its autopsy. Later on, as Yennefer started the transformation process on Uma, Eskel was noticeably troubled by Uma being put through the Trial of the Grasses and eventually walked off from it. Though he did return and brought some rags to help clean the floor, and Yennefer after she prompted him, as Uma had vomited on her during the Trial. After Yennefer broke Uma's curse and went to rest, Eskel sat with Lambert to share anecdotes and drink when Geralt joined them.Eskel goes toe to toe with Caranthir.As Eredin Bréacc Glas realized Ciri was on Kaer Morhen, he attacked and Eskel partook in the ensuing battle. He defended the inner courtyard of the keep. After Caranthir opened a portal and brought a few riders of the Wild Hunt through, Eskel dueled Caranthir, holding his own expertly, until Caranthir utiilized his teleporting, which almost cost him his life. Luckily, this did not happen as fate smiled upon him—Ciri saved his hide. Caranthir retreated after being called away, but not before he ordered his troops to kill the two. Eskel and Ciri then killed the warriors and continued to fend off the Hunt.Suddenly, icy coldness tore through holes opened by the Wild Hunt, freezing Eskel in motion. He only unfroze after Eredin and the Aen Elle warriors vanished, ousted by Ciri's outbreak of power in the wake of Vesemir's death.[1]In the battle's aftermath, Eskel bid a last farewell to his valiant master. Unable to imagine Kaer Morhen without Vesemir, he decided to watch over the Witchers' Settlement until winter 1273 and return to the Path for an unknown amount of time. Direction—Lormark. He supposed its warlike undertone would provide ample work opportunities.[1]In July 1267, Ciri experienced a pyromantic vision with a fraction of it showing Eskel and other witchers led onto a scaffold.[10] She had seen Eskel again in a different vision after entering Tor Zireael.[11] When recounting the story about Yennefer, Geralt and herself to Galahad, Ciri changed the end to a happy one, telling the naive knight from another world that, after the pogrom, a splendid feast took place with Eskel in attendance.[3]Elsewhere, bard Dandelion introduced a ballad Bitter, Evil Hearts, chronicling the tale of Eskel and Ademeyn.[5] A story about how Eskel saved the little girl from a Basilisk made it into A Few Remarks on Basilisks and Cockatrices, a book containing useful knowledge for beast hunters.[1] Decades on, by the 14th century, he had become a part of various iterations of the legend of the White Wolf and the witcher girl.[3]Eskel uses Igni against the Hunt.The Wolf witcher had a menacing, metallic voice that sounded like a dog's barking to Ciri when she first heard it. The most prominent feature of his visage was a long, hideous, semi-circular scar running from the corner of his mouth across the length of his cheek up to the ear. It got itchy when he was nervous or embarrassed. Minus the scar and hair color, Eskel and Geralt resembled one another like true brothers. Eskel's hands emanated powerfully with magic, with more power than the White Wolf's. This triggered pleasant, piercing vibration in mages.[4] On festive occasions, he would sport a beret adorned with pheasant feathers.[12]Eskel was calm, patient, stable, thoughtful and polite. Even when he disagreed wholeheartedly with a topic, he feigned politeness and interest in the matter. What betrayed him in such situations was avoiding eye contact. He enjoyed drinking and laughing with friends. Quite self-aware, he had no delusions about his appearance but that didn't hinder him from smiling. His fitting, mature behavior, especially when it came to Ciri compared to the other witchers endeared him to Triss Merigold.[4] Vesemir prized Eskel's reliability.[13]"
"214","Falas","Human","Male",NA,NA,"Falas is a secondary character in The Witcher 2: Assassins of Kings. He is a merchant, craftsman, and dice poker player who can be found near Ilona, his wife, outside of the Loc Muinne amphitheatre during Chapter III.He tells Geralt of how he was once a good swordsmith, or at least it looked like he might be, but a riot came through town taking his workshop with it and leaving him with nothing but his skills. He also professes to prefer swallowing swords to hammering them, but that upsets his wife."
"215","Farid","Human","Male","Alchemist"," Gaspar","Farid was an alchemist along with Gaspar who were in Flotsam around 1271 when Geralt was in the area. If talked to, the two alchemists request the witcher to test a potion for them before walking away.They could later be met in Loc Muinne where they request Geralt's help once more, this time to rescue some of their fellow mages."
"216","Felicia Cori","Human","Female","Barber Merchant Sorceress"," Aretuza","Felicia Cori was a sorceress who graduated from Aretuza.[1]In 1272, Felicia was in Novigrad, when she was captured by the witch hunters and taken to Hierarch Square, where she was burned at the stake for being a mage, just as Geralt arrived in the square.[2]She was a merchant, dice poker player, and coiffeuse."
"217","Felix Favela","Dwarf","Male",NA,NA,"Felix Favela was a secondary character in The Witcher 2: Assassins of Kings.He can be found in Vergen during Chapter II, near the merchants Spark and Mael on Rhundurin Square. When spoken to, Felix says he was there when the massacre of the nonhumans occurred in Flotsam, and that he has a gift for Geralt: an Axe and a Dwarven enhancement."
"218","Fenn","Human","Male",NA," Blue Stripes","Fenn was a member of the Blue Stripes, an elite Temerian Special Forces Unit in 1271.He enjoyed a good drink, arm wrestling and fistfighting.Fenn shared the fate of the Blue Stripes and died by the order of Detmold."
"219","Fioravanti","Human","Male",NA,NA,"Fioravanti is a secondary character in The Witcher 2: Assassins of Kings. He is a merchant and dice poker player who can be found at the south side of the main square in Flotsam, in front of Louis Merse's house."
